platform,product,title,text,date
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,The speaker group feature just stopped working,2021-12-13T18:19:51Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,no headphone jack is bullshit.,2021-12-12T01:30:49Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Don't we all want multi room audio. Came to this video because this device has potential for multiroom audio,2021-12-07T16:38:31Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"""here's a sound test""
...Coming out of my cambridge soundworks 20yr old speakers...
*facepalm*",2021-11-30T10:41:24Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Great review, appreciated.",2021-11-26T08:51:31Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,just ordered mine after watching this video! aaaaaa excited!,2021-11-25T11:21:41Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,So what are some I have a question about the next mini is will it work for my current cell phone because I have Google anyway.,2021-11-21T23:33:49Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"how are people getting this for free? i have youtube premium, can i get one or are they randomly selecting who to give it to?",2021-10-26T16:08:36Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Hi Josh, I noticed in this review that you had a Lenovo 4inch smart clock
I'm considering introducing it to my house hold mix possible replacing nest mini in bedroom with beside clock or in possible the cock in the kitchen and reuse the nest mini in black spots within my house rather than buy another.
How does the clock compared to the nest mini ❓ kind regards Bruce",2021-10-15T22:18:56Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Boys got some girl in him,,, I can hear it",2021-10-14T10:20:30Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"One more microphone for your home,,, y’all are stupid",2021-10-14T10:19:25Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"I work in a shop with a guy who plays classic rock on one of these things all day for the last year.  This tin foil speaker sounds absolutely terrible.  Any time an electric guitar is leading a piece, it sound likes screeching and tearing noises.  Want to find out how bad music can sound?   This speaker will show you.  There is a reason for all the comments of people getting it for free.  The quality is shit, and it just sucks you farther into Google's web of manipulating everybody.",2021-10-10T23:09:56Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Amazon Alexa is the best for home automation, it has the most skills.
Also, Google can't add a device to more than 1 room or group; example: kitchen and family room are adjacent to each other and I want the lights in both room to turn 
off if I say all, as well as independently turning off either room.
Alexa is inexpensive so I bought 8 to equip every room with Amazon Alexa for voice control so that I can just ask 'turn off the lights' and the echo in that room 

knows to turn off those lights and not other lights in the house.
Google app's fonts are really really really tiny for my old eyes.
All 8 of my Amazon Echo devices have a clock... very convenient to tell the time or see a timer's countdown.
or better sound, I have a few of my Amazon Echo dot 3 with clock output the sound via its 3.5mm headphone jack to my Denon HEOS speakers.",2021-09-06T16:28:08Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"I just use it as a speaker in my bathroom, the only time I as it a question it’s usually weather related",2021-08-27T12:05:15Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Be a man and clip those fingernails...,2021-08-23T05:28:12Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"they are garbage, and useless. i have a radio. and a cell phone. and hands. guess i'm lucky.",2021-08-08T20:04:27Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,how do i connect to settings i have apple music,2021-07-22T19:34:48Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,does Kasa bulbs work with Nest mini? cuz they work on the google pixel,2021-07-05T11:12:26Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,keeps on asking you tube music subscription...dont buy if u dont want to pay for premium service.,2021-06-17T11:25:21Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,It's a piece of junk it doesn't work.,2021-06-14T15:15:56Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Google nest mini is utterly crap.i,2021-06-14T15:13:58Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"It's crap,it doesn't work.",2021-06-14T14:50:32Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"This piece of junk doesn't work,nest mini is junk.",2021-06-14T14:49:29Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Google nest Mini is CRAP,2021-06-14T14:48:12Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Josh’s bathroom speaker. Yeah, I see myself doing that 🤔",2021-06-11T06:17:43Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Should be illegal to call this device Smart!,2021-06-02T14:45:33Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"I don't get it. What's the point of this thing if any android does the same things with ""ok google"".",2021-05-31T20:02:11Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,This product is a inconsistent inconvenient sooo lame,2021-05-11T17:43:16Z
